Tag,studentname,personalitytype,conformity,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Instance,Experiment
Agent00,Benjamin,ADHD,-0.0992500000000001,0.77,0.2,0.55,0.2,0.8,Instance-000-5956,ADHD-Low-Ambitious
Agent01,Maria,ADHD,-0.0979000000000001,0.78,0.2,0.54,0.2,0.8,Instance-000-5956,ADHD-Low-Ambitious
Agent02,Julian,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent03,Benjamin,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent04,Maria,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent05,Antonio,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent06,Jakob,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent07,Sonya,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent08,Barbara,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent09,Raquel,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent10,Herbert,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent11,Silke,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent12,Juanma,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent13,Manuel,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent14,Maria,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent15,Benjamin,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-000-5956,ADHD-Low-Ambitious
Agent16,Herbert,Ambitious,0.6272,0.8,0.8,0.78,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent17,Kathrin,Ambitious,0.8108,0.8,0.8,0.27,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent18,Pedro,Ambitious,0.6524,0.8,0.8,0.71,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent19,Marta,Ambitious,0.836,0.8,0.8,0.2,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent20,Julian,Ambitious,0.8036,0.8,0.8,0.29,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent21,Juanma,Ambitious,0.8504,0.8,0.8,0.16,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent22,Doris,Ambitious,0.8036,0.8,0.8,0.29,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent23,Doris,Ambitious,0.9008,0.8,0.8,0.02,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent24,Felix,Ambitious,0.7856,0.8,0.8,0.34,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent25,Antonio,Ambitious,0.7136,0.8,0.8,0.54,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent26,Doris,Ambitious,0.5516,0.8,0.8,0.99,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent27,Jakob,Ambitious,0.6668,0.8,0.8,0.67,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent28,Felix,Ambitious,0.746,0.8,0.8,0.45,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent29,Estella,Ambitious,0.8756,0.8,0.8,0.09,0.8,0.2,Instance-000-5956,ADHD-Low-Ambitious
Agent00,Julia,ADHD,-0.20995,0.99,0.2,0.72,0.2,0.8,Instance-001-8097,ADHD-Low-Ambitious
Agent01,Alba,ADHD,-0.10105,0.73,0.2,0.58,0.2,0.8,Instance-001-8097,ADHD-Low-Ambitious
Agent02,Julia,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent03,Alba,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent04,Benjamin,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent05,Alba,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent06,Julia,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent07,Marta,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent08,Juanma,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent09,Maria,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent10,Pedro,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent11,Alba,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent12,Jakob,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent13,Julia,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent14,Antonio,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent15,Benjamin,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-001-8097,ADHD-Low-Ambitious
Agent16,Alba,Ambitious,0.584,0.8,0.8,0.9,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent17,Alba,Ambitious,0.674,0.8,0.8,0.65,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent18,Pedro,Ambitious,0.7784,0.8,0.8,0.36,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent19,Manuel,Ambitious,0.8756,0.8,0.8,0.09,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent20,Jakob,Ambitious,0.6164,0.8,0.8,0.81,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent21,Sonya,Ambitious,0.7748,0.8,0.8,0.37,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent22,Benjamin,Ambitious,0.7748,0.8,0.8,0.37,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent23,Juanma,Ambitious,0.8792,0.8,0.8,0.08,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent24,Benjamin,Ambitious,0.5516,0.8,0.8,0.99,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent25,Herbert,Ambitious,0.584,0.8,0.8,0.9,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent26,Pedro,Ambitious,0.782,0.8,0.8,0.35,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent27,Anton,Ambitious,0.8324,0.8,0.8,0.21,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent28,Barbara,Ambitious,0.6308,0.8,0.8,0.77,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent29,Kathrin,Ambitious,0.602,0.8,0.8,0.85,0.8,0.2,Instance-001-8097,ADHD-Low-Ambitious
Agent00,Anton,ADHD,0.18515,0.29,0.2,0.06,0.2,0.8,Instance-002-5564,ADHD-Low-Ambitious
Agent01,Michael,ADHD,-0.08935,0.79,0.2,0.51,0.2,0.8,Instance-002-5564,ADHD-Low-Ambitious
Agent02,Sonya,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent03,Alba,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent04,Benjamin,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent05,Pedro,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent06,Julian,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent07,Raquel,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent08,Silke,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent09,Marta,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent10,Barbara,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent11,Kathrin,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent12,Herbert,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent13,Antonio,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent14,Michael,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent15,Jakob,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-002-5564,ADHD-Low-Ambitious
Agent16,Anton,Ambitious,0.6992,0.8,0.8,0.58,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent17,Julia,Ambitious,0.5876,0.8,0.8,0.89,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent18,Felix,Ambitious,0.7532,0.8,0.8,0.43,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent19,Julian,Ambitious,0.8576,0.8,0.8,0.14,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent20,Silke,Ambitious,0.764,0.8,0.8,0.4,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent21,Sonya,Ambitious,0.9044,0.8,0.8,0.01,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent22,Silke,Ambitious,0.7784,0.8,0.8,0.36,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent23,Sonya,Ambitious,0.764,0.8,0.8,0.4,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent24,Raquel,Ambitious,0.872,0.8,0.8,0.1,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent25,Benjamin,Ambitious,0.7856,0.8,0.8,0.34,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent26,Michael,Ambitious,0.6956,0.8,0.8,0.59,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent27,Alba,Ambitious,0.584,0.8,0.8,0.9,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent28,Anton,Ambitious,0.9044,0.8,0.8,0.01,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent29,Pedro,Ambitious,0.8756,0.8,0.8,0.09,0.8,0.2,Instance-002-5564,ADHD-Low-Ambitious
Agent00,Juanma,ADHD,0.0586999999999999,0.9,0.2,0.03,0.2,0.8,Instance-003-5014,ADHD-Low-Ambitious
Agent01,Raquel,ADHD,-0.0434500000000001,0.81,0.2,0.37,0.2,0.8,Instance-003-5014,ADHD-Low-Ambitious
Agent02,Michael,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
Agent03,Sonya,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
Agent04,Herbert,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
Agent05,Estella,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
Agent06,Julian,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
